station,eval_year,date,dap,sim_day,bc_two_stage_irrigation_00609,bc_two_stage_n_00609,ft0_irrigation_00610,ft0_n_00610,expert_schedule_irrigation,expert_schedule_n,irrigation_diff,n_diff,is_event_day,notes
HLA,2009,2009-10-04,152.0,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2009,2009-10-05,153.0,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2009,2009-10-06,154.0,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2009,2009-10-07,154.0,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-05,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-06,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-07,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-08,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-09,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-10,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-11,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-12,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-13,5.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-14,6.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-15,7.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-16,8.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-17,9.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-18,10.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-19,11.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-20,12.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-21,13.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-22,14.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-23,15.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-24,16.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-25,17.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-26,18.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-27,19.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-28,20.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-29,21.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-30,22.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-05-31,23.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-01,24.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-02,25.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-03,26.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-04,27.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-05,28.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-06,29.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-07,30.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-08,31.0,35,0.0,132.75,0.0,80.0,0.0,132.75,0.0,-52.75,True,anfer_daily_max
HLA,2011,2011-06-09,32.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-10,33.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-11,34.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-12,35.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-13,36.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-14,37.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-15,38.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-16,39.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-17,40.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-18,41.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-19,42.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-20,43.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-21,44.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-22,45.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-23,46.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-24,47.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
HLA,2011,2011-06-25,48.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
