station,year,policy_type,policy_name,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,yield_loss_vs_ppo,input_reduction_vs_ppo,notes
SYA,2014,imitation_policy,BC_two_stage_classifier_regressor,8756.624145507812,0.0,138.5,52.94124145507813,0.045532124944859,0.0926568928278154,-0.2735293323964256,0.8461111111111111,behavior_cloning_policy
SYA,2015,imitation_policy,BC_two_stage_classifier_regressor,8692.003784179688,0.0,138.5,52.29503784179688,0.0,0.0818763025157101,-0.2641311985660908,0.8461111111111111,behavior_cloning_policy
LCA,2010,imitation_policy,BC_two_stage_classifier_regressor,8023.380737304687,0.0,180.5,35.10880737304687,0.0,0.0024334976206655,-0.1668892651038203,0.7994444444444444,behavior_cloning_policy
LCA,2011,imitation_policy,BC_two_stage_classifier_regressor,9126.643676757812,0.0,180.5,46.14143676757813,0.0,0.0012096026364494,-0.3273435327978661,0.7994444444444444,behavior_cloning_policy
LCA,2008,imitation_policy,BC_two_stage_classifier_regressor,9245.808715820312,0.0,180.5,47.33308715820313,0.0,0.0012083314713977,-0.3446744322541496,0.7994444444444444,behavior_cloning_policy
LCA,2009,imitation_policy,BC_two_stage_classifier_regressor,9045.416259765623,0.0,180.5,45.32916259765625,0.0,0.0002406812181659,-0.3155301334312376,0.7994444444444444,behavior_cloning_policy
HLA,2011,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
HLA,2007,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
HLA,2009,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
SYA,2012,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
SYA,2014,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
SYA,2015,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2010,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2011,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2008,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2009,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
HLA,2011,prior_replay,FT0_BC_two_stage_replay,3005.30029296875,0.0,80.0,10.053002929687501,0.0,0.20174189749554064,0.5629208228928364,0.9111111111111111,constrained_ppo_eval
HLA,2007,prior_replay,FT0_BC_two_stage_replay,2964.3707275390625,0.0,80.0,9.643707275390625,0.0,0.17864539839277332,0.5688734595791656,0.9111111111111111,constrained_ppo_eval
HLA,2009,prior_replay,FT0_BC_two_stage_replay,3404.1400146484375,0.0,80.0,14.041400146484378,0.0,0.24528792931598686,0.5049151261718596,0.9111111111111111,constrained_ppo_eval
SYA,2012,prior_replay,FT0_BC_two_stage_replay,2693.1094360351562,0.0,0.0,26.931094360351562,0.0,0.18894308849617286,0.6083246459877069,1.0,constrained_ppo_eval
SYA,2014,prior_replay,FT0_BC_two_stage_replay,2729.5013427734375,0.0,0.0,27.295013427734375,0.0,0.20650000621875128,0.6030319487195693,1.0,constrained_ppo_eval
SYA,2015,prior_replay,FT0_BC_two_stage_replay,2669.547119140625,0.0,0.0,26.695471191406252,0.0,0.19679823663684873,0.6117514576454619,1.0,constrained_ppo_eval
LCA,2010,prior_replay,FT0_BC_two_stage_replay,6127.1307373046875,0.0,80.0,41.271307373046874,0.0,0.08767272208047949,0.10889395414004688,0.9111111111111111,constrained_ppo_eval
LCA,2011,prior_replay,FT0_BC_two_stage_replay,6826.3934326171875,0.0,80.0,48.26393432617188,0.0,0.12751290143704883,0.007195909467443225,0.9111111111111111,constrained_ppo_eval
LCA,2008,prior_replay,FT0_BC_two_stage_replay,7335.5181884765625,0.0,80.0,53.35518188476563,0.0,0.13685012317839124,-0.06684921336322064,0.9111111111111111,constrained_ppo_eval
LCA,2009,prior_replay,FT0_BC_two_stage_replay,6723.673095703125,0.0,80.0,47.236730957031256,0.0,0.11176953829971015,0.022135155450818202,0.9111111111111111,constrained_ppo_eval
HLA,2011,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,6645.321044921875,300.0,450.0,-196.04678955078126,0.0,0.0010484139594806017,0.033530372747489046,0.0,constrained_ppo_eval
HLA,2007,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,7165.6866455078125,300.0,450.0,-190.84313354492187,0.0,0.0004705458679455239,-0.04214957478757132,0.0,constrained_ppo_eval
HLA,2009,constrained_ppo_finetune,FT1_bc_penalty_lambda_0p5,7356.0919189453125,300.0,450.0,-188.93908081054687,0.0,0.0005770022014401993,-0.06984137664365704,0.0,constrained_ppo_eval
