station,policy_name,finetune_method,prior_policy,train_year,eval_year,seed,model_path,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,irrigation_saturation_ratio_guardrail,n_saturation_ratio_guardrail,daily_csv_path,figure_dir,notes,yield_loss_vs_prior,yield_loss_vs_expert,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline
HLA,FT2_residual_bc_prior_HLA_train2011_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2011,2011,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT2_residual_bc_prior_HLA_train2011_seed0.zip,ok,True,164,120.56035995483398,136.86384484171867,0.2839624881744385,0.0,0.41902972903193497,-67.2973094433546,0.013753241046778556,0.885,0.4562128161390622,0.0006310277514987522,0.4562128161390622,0.0006310277514987522,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT2_residual_bc_prior_HLA_train2011_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT2_residual_bc_prior/eval_2011,constrained_ppo_eval,0.979811308839322,0.981056307147849,0.98246617050413,0.7715780780547195
HLA,FT2_residual_bc_prior_HLA_train2011_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2011,2007,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT2_residual_bc_prior_HLA_train2011_seed0.zip,ok,True,149,3009.952392578125,164.39069285988808,80.98878145217896,0.0,0.17335764313704216,-72.34301786720752,0.013433003832326368,0.35166726460504477,0.5479689761996269,0.17997506989373102,0.5479689761996269,0.17997506989373102,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT2_residual_bc_prior_HLA_train2011_seed0_eval2007_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT2_residual_bc_prior/eval_2007,constrained_ppo_eval,0.5185950078416741,0.5573322882504292,0.5622442396329727,0.636027976953321
HLA,FT2_residual_bc_prior_HLA_train2011_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2011,2009,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT2_residual_bc_prior_HLA_train2011_seed0.zip,ok,True,159,160.10128021240234,130.037609487772,0.5382239818572998,0.0,0.3864545392915138,-63.552347937226294,0.013767070784633764,0.885,0.4334586982925733,0.0011960532930162218,0.4334586982925733,0.0011960532930162218,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT2_residual_bc_prior_HLA_train2011_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT2_residual_bc_prior/eval_2009,constrained_ppo_eval,0.9775036365456089,0.9774334369681186,0.9767154929666232,0.7826726242072053
SYA,FT2_residual_bc_prior_SYA_train2012_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2012,2012,0,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT2_residual_bc_prior_SYA_train2012_seed0.zip,ok,True,135,6512.0318603515625,101.71564072370529,74.73149299621582,0.0,0.10569917272638392,-4.420375007390973,0.017781048276777327,0.9233333333333333,0.3390521357456843,0.16606998443603516,0.3390521357456843,0.16606998443603516,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT2_residual_bc_prior_SYA_train2012_seed0_eval2012_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT2_residual_bc_prior/eval_2012,constrained_ppo_eval,0.2504382970182314,0.27726903363767214,0.052915432951149304,0.7474389399091402
SYA,FT2_residual_bc_prior_SYA_train2012_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2012,2014,0,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT2_residual_bc_prior_SYA_train2012_seed0.zip,ok,True,144,6689.056396484375,108.07995796203613,75.16652941703796,0.0,0.12938492827945286,-5.941047370433807,0.01712769090203247,0.9233333333333333,0.3602665265401204,0.16703673203786215,0.3602665265401204,0.16703673203786215,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT2_residual_bc_prior_SYA_train2012_seed0_eval2014_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT2_residual_bc_prior/eval_2014,constrained_ppo_eval,0.23611470752505792,0.24682707086045763,0.027169673446938724,0.7363483707110088
SYA,FT2_residual_bc_prior_SYA_train2012_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2012,2015,0,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT2_residual_bc_prior_SYA_train2012_seed0.zip,ok,True,143,6317.073974609375,106.92481994628906,76.33052468299866,0.0,0.11814611441605574,-9.374301397800444,0.01723018004240839,0.9233333333333333,0.3564160664876302,0.16962338818444145,0.3564160664876302,0.16962338818444145,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT2_residual_bc_prior_SYA_train2012_seed0_eval2015_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT2_residual_bc_prior/eval_2015,constrained_ppo_eval,0.27323156645340185,0.3038334149796001,0.0812693490207385,0.7369802726639642
LCA,FT2_residual_bc_prior_LCA_train2010_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2010,2010,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT2_residual_bc_prior_LCA_train2010_seed0.zip,ok,True,92,6472.803955078125,0.0,80.66837191581726,0.0,0.09879255813101064,44.56094657182693,0.00900412032569664,0.625,0.0,0.17926304870181614,0.0,0.17926304870181614,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT2_residual_bc_prior_LCA_train2010_seed0_eval2010_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT2_residual_bc_prior/eval_2010,constrained_ppo_eval,0.1932572855501122,0.19175565067642278,0.058620586807709395,0.910368475649092
LCA,FT2_residual_bc_prior_LCA_train2010_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2010,2011,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT2_residual_bc_prior_LCA_train2010_seed0.zip,ok,True,102,6925.1654052734375,0.0,77.50813066959381,0.0,0.12881354549351862,49.87462138533593,0.007854473505144805,0.625,0.0,0.17224029037687513,0.0,0.17224029037687513,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT2_residual_bc_prior_LCA_train2010_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT2_residual_bc_prior/eval_2011,constrained_ppo_eval,0.24121444305870365,0.2227398008751257,-0.00716910178645676,0.9138798548115624
LCA,FT2_residual_bc_prior_LCA_train2010_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2010,2008,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT2_residual_bc_prior_LCA_train2010_seed0.zip,ok,True,105,7482.393798828125,0.0,78.42366695404053,0.0,0.12892541658310663,55.21802124977113,0.007641632927788629,0.625,0.0,0.17427481545342338,0.0,0.17427481545342338,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT2_residual_bc_prior_LCA_train2010_seed0_eval2008_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT2_residual_bc_prior/eval_2008,constrained_ppo_eval,0.1907258706288012,0.19072501585489662,-0.08821023045018796,0.9128625922732883
LCA,FT2_residual_bc_prior_LCA_train2010_seed0,FT2_residual_bc_prior,BC_two_stage_classifier_regressor,2010,2009,0,Leave_One_experiments/constrained_ppo_finetuning/models/LCA/FT2_residual_bc_prior_LCA_train2010_seed0.zip,ok,True,102,7060.894775390625,0.0,80.1852434873581,0.0,0.1213911725025551,50.56263688206673,0.00812750602080152,0.625,0.0,0.17818942997190687,0.0,0.17818942997190687,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/LCA/FT2_residual_bc_prior_LCA_train2010_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/LCA/FT2_residual_bc_prior/eval_2009,constrained_ppo_eval,0.21939526356594885,0.20345282880119775,-0.026909053078143147,0.9109052850140466
HLA,FT3_budget_guardrail_100_200_HLA_train2011_seed0,FT3_budget_guardrail_100_200,BC_two_stage_classifier_regressor,2011,2011,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT3_budget_guardrail_100_200_HLA_train2011_seed0.zip,ok,True,169,6321.763916015625,100.0,200.0,0.0,0.12040342205374904,-36.78236083984375,0.01814360581462358,0.885,0.3333333333333333,0.4444444444444444,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT3_budget_guardrail_100_200_HLA_train2011_seed0_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT3_budget_guardrail_100_200/eval_2011,constrained_ppo_eval,-0.05862440472947815,0.0066589552845011364,0.08058726219722855,0.6111111111111112
HLA,FT3_budget_guardrail_100_200_HLA_train2011_seed0,FT3_budget_guardrail_100_200,BC_two_stage_classifier_regressor,2011,2007,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT3_budget_guardrail_100_200_HLA_train2011_seed0.zip,ok,True,149,7156.4239501953125,100.0,200.0,0.0,0.06423507040779063,-28.435760498046875,0.02057874924922313,0.885,0.3333333333333333,0.4444444444444444,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT3_budget_guardrail_100_200_HLA_train2011_seed0_eval2007_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT3_budget_guardrail_100_200/eval_2007,constrained_ppo_eval,-0.14458229443109352,-0.052481036628408397,-0.04080244443442362,0.6111111111111112
HLA,FT3_budget_guardrail_100_200_HLA_train2011_seed0,FT3_budget_guardrail_100_200,BC_two_stage_classifier_regressor,2011,2009,0,Leave_One_experiments/constrained_ppo_finetuning/models/HLA/FT3_budget_guardrail_100_200_HLA_train2011_seed0.zip,ok,True,159,6695.1611328125,100.0,200.0,0.0,0.16247095411303658,-33.048388671875,0.019287145714945643,0.885,0.3333333333333333,0.4444444444444444,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/HLA/FT3_budget_guardrail_100_200_HLA_train2011_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/HLA/FT3_budget_guardrail_100_200/eval_2009,constrained_ppo_eval,0.05924063799087898,0.05630501197883796,0.026281824356784313,0.6111111111111112
SYA,FT3_budget_guardrail_100_200_SYA_train2012_seed0,FT3_budget_guardrail_100_200,BC_two_stage_classifier_regressor,2012,2012,0,Leave_One_experiments/constrained_ppo_finetuning/models/SYA/FT3_budget_guardrail_100_200_SYA_train2012_seed0.zip,ok,True,135,9828.40576171875,100.0,200.0,0.0,0.0177202719229239,-1.7159423828125,0.022226545059074204,0.9233333333333333,0.3333333333333333,0.4444444444444444,1.0,1.0,Leave_One_experiments/constrained_ppo_finetuning/daily_outputs/SYA/FT3_budget_guardrail_100_200_SYA_train2012_seed0_eval2012_daily.csv,Leave_One_experiments/constrained_ppo_finetuning/figures/SYA/FT3_budget_guardrail_100_200/eval_2012,constrained_ppo_eval,-0.13129000568986984,-0.09079521511809385,-0.4294050789725876,0.6111111111111112
