station,year,treatment_id,treatment_name,total_irrigation,total_n,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,profit_default,profit_low_water_cost,mean_swfac,max_swfac,swfac_stress_days_gt_0p05,swfac_stress_days_gt_0p10,mean_nstres,max_nstres,nstres_days_gt_0p05,daily_csv_path,notes,yield_gain_vs_T0,yield_gain_vs_N_only_medium,yield_gain_from_irrigation_at_same_N,yield_gain_from_n_at_same_irrigation,profit_gain_from_irrigation_at_same_N_default,profit_gain_from_irrigation_at_same_N_low_water_cost,water_productivity,n_productivity
LCA,2011,T5,T5_N_medium_I_mid,120.0,150.0,ok,,True,102,8971.473999023438,17120.4052734375,1.8014724254608154,-7.785260009765622,40.21473999023438,0.0,0.0,0,0,0.04102459608339796,0.1877046823501587,33,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2011_T5_N_medium_I_mid_daily.csv,,6110.296325683594,191.378173828125,191.378173828125,,-58.086218261718756,-10.086218261718756,7476.228332519531,5980.982666015625
LCA,2011,T6,T6_N_high_I_mid,120.0,225.0,ok,,True,102,9129.4482421875,17944.74609375,1.8362398147583008,-24.955517578124997,23.044482421875003,0.0,0.0,0,0,0.0005292752209831687,0.02337700128555298,0,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/LCA/LCA_2011_T6_N_high_I_mid_daily.csv,,6268.270568847656,349.3524169921875,,,,,7607.87353515625,4057.5325520833335
SYA,2012,T0,T0_null_zero,0.0,0.0,ok,,True,135,2693.1094360351562,4875.087585449219,0.2015940099954605,26.931094360351562,26.931094360351562,0.0,0.0,0,0,0.18894308849617286,0.4339103102684021,97,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2012_T0_null_zero_daily.csv,,0.0,-6536.158752441406,,,,,,
SYA,2012,T1,T1_N_only_low,0.0,75.0,ok,,True,135,6900.6585693359375,12728.5498046875,0.8510246872901917,50.25658569335938,50.25658569335938,0.0,0.0,0,0,0.11941102036723385,0.5550379753112793,59,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2012_T1_N_only_low_daily.csv,,4207.549133300781,-2328.609619140625,,4207.549133300781,,,,9200.878092447916
SYA,2012,T2,T2_N_only_medium,0.0,150.0,ok,,True,135,9229.268188476562,15797.337646484375,1.182905673980713,54.79268188476563,54.79268188476563,0.0,0.0,0,0,0.04596946636835734,0.4814988970756531,18,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2012_T2_N_only_medium_daily.csv,,6536.158752441406,0.0,,6536.158752441406,,,,6152.845458984375
SYA,2012,T3,T3_I_only_low,60.0,0.0,ok,,True,135,2537.41455078125,4542.515563964844,0.18984507024288177,-4.6258544921875,19.3741455078125,0.0,0.0,0,0,0.1908508230138708,0.45315176248550415,97,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2012_T3_I_only_low_daily.csv,,-155.69488525390625,-6691.8536376953125,-155.69488525390625,,-31.556948852539062,-7.556948852539062,4229.024251302084,
SYA,2012,T4,T4_N_medium_I_low,60.0,150.0,ok,,True,135,8880.52001953125,15078.358154296875,1.1204884052276611,21.30520019531251,45.30520019531251,0.0,0.0,0,0,0.0513879069575557,0.49665552377700806,20,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2012_T4_N_medium_I_low_daily.csv,,6187.410583496094,-348.7481689453125,-348.7481689453125,,-33.48748168945312,-9.48748168945312,14800.86669921875,5920.3466796875
SYA,2012,T5,T5_N_medium_I_mid,120.0,150.0,ok,,True,135,8838.394775390625,15053.348388671875,1.1031932830810547,-9.116052246093744,38.883947753906256,0.0,0.0,0,0,0.051860443751017254,0.49140310287475586,20,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2012_T5_N_medium_I_mid_daily.csv,,6145.285339355469,-390.8734130859375,-390.8734130859375,,-63.90873413085937,-15.908734130859372,7365.3289794921875,5892.26318359375
SYA,2012,T6,T6_N_high_I_mid,120.0,225.0,ok,,True,135,9844.112548828125,16050.25146484375,1.100657343864441,-17.80887451171874,30.19112548828126,0.0,0.0,0,0,0.0004247537365666142,0.017070889472961426,0,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2012_T6_N_high_I_mid_daily.csv,,7151.003112792969,614.8443603515625,,,,,8203.427124023438,4375.1611328125
SYA,2014,T0,T0_null_zero,0.0,0.0,ok,,True,144,2729.5013427734375,5343.85498046875,0.1960136741399765,27.295013427734375,27.295013427734375,0.0,0.0,0,0,0.20650000621875128,0.4378257989883423,97,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2014_T0_null_zero_daily.csv,,0.0,-6135.3125,,,,,,
SYA,2014,T1,T1_N_only_low,0.0,75.0,ok,,True,144,6790.6280517578125,13037.479248046875,0.7229984402656555,49.156280517578125,49.156280517578125,0.0167957345644633,0.7718111276626587,6,6,0.14144324759642282,0.682080864906311,66,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2014_T1_N_only_low_daily.csv,,4061.126708984375,-2074.185791015625,,4061.126708984375,,,,9054.170735677084
SYA,2014,T2,T2_N_only_medium,0.0,150.0,ok,,True,144,8864.813842773438,17071.748046875,1.5123568773269653,51.14813842773438,51.14813842773438,0.05166819981402821,0.8005271404981613,12,11,0.07349224512775739,0.6354610621929169,27,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2014_T2_N_only_medium_daily.csv,,6135.3125,0.0,,6135.3125,,,,5909.875895182292
SYA,2014,T3,T3_I_only_low,60.0,0.0,ok,,True,144,2909.77294921875,5525.845947265625,0.21376867592334747,-0.9022705078124993,23.0977294921875,0.0,0.0,0,0,0.18599128764536646,0.4511241316795349,97,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2014_T3_I_only_low_daily.csv,,180.2716064453125,-5955.0408935546875,180.2716064453125,,-28.197283935546874,-4.197283935546874,4849.62158203125,
SYA,2014,T4,T4_N_medium_I_low,60.0,150.0,ok,,True,144,9337.201538085938,17275.804443359375,1.460565447807312,25.87201538085938,49.87201538085938,0.00017266637749142118,0.02486395835876465,0,0,0.07469225778347915,0.6518359184265137,27,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2014_T4_N_medium_I_low_daily.csv,,6607.7001953125,472.3876953125,472.3876953125,,-25.276123046875,-1.276123046875,15562.002563476562,6224.801025390625
SYA,2014,T5,T5_N_medium_I_mid,120.0,150.0,ok,,True,144,9787.794189453125,17705.35400390625,1.4912558794021606,0.37794189453124716,48.37794189453125,0.0,0.0,0,0,0.07258361929820643,0.6166983842849731,27,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2014_T5_N_medium_I_mid_daily.csv,,7058.2928466796875,922.9803466796875,922.9803466796875,,-50.77019653320313,-2.7701965332031335,8156.4951578776045,6525.196126302083
SYA,2014,T6,T6_N_high_I_mid,120.0,225.0,ok,,True,144,10969.78515625,19397.860107421875,1.4889922142028809,-6.552148437499994,41.447851562500006,0.0,0.0,0,0,0.012280105716652341,0.25926434993743896,9,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2014_T6_N_high_I_mid_daily.csv,,8240.283813476562,2104.9713134765625,,,,,9141.487630208334,4875.460069444444
SYA,2015,T0,T0_null_zero,0.0,0.0,ok,,True,143,2669.547119140625,5058.905944824219,0.19640682637691498,26.695471191406252,26.695471191406252,0.0,0.0,0,0,0.19679823663684873,0.4149143099784851,101,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2015_T0_null_zero_daily.csv,,0.0,-6461.57958984375,,,,,,
SYA,2015,T1,T1_N_only_low,0.0,75.0,ok,,True,143,6645.5706787109375,12578.115234375,0.7056990265846252,47.70570678710938,47.70570678710938,0.0,0.0,0,0,0.12849563589462867,0.5603595674037933,66,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2015_T1_N_only_low_daily.csv,,3976.0235595703125,-2485.5560302734375,,3976.0235595703125,,,,8860.760904947916
SYA,2015,T2,T2_N_only_medium,0.0,150.0,ok,,True,143,9131.126708984375,17250.657958984375,1.4267042875289917,53.81126708984375,53.81126708984375,0.0,0.0,0,0,0.06778215820139105,0.5567241907119751,26,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2015_T2_N_only_medium_daily.csv,,6461.57958984375,0.0,,6461.57958984375,,,,6087.417805989583
SYA,2015,T3,T3_I_only_low,60.0,0.0,ok,,True,143,2686.85302734375,5027.670593261719,0.20200888812541962,-3.1314697265625,20.8685302734375,0.0,0.0,0,0,0.19096503391132488,0.4289146661758423,102,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2015_T3_I_only_low_daily.csv,,17.305908203125,-6444.273681640625,17.305908203125,,-29.826940917968752,-5.826940917968752,4478.08837890625,
SYA,2015,T4,T4_N_medium_I_low,60.0,150.0,ok,,True,143,9115.932006835938,17042.249755859375,1.3850533962249756,23.659320068359378,47.65932006835938,0.0,0.0,0,0,0.0654044759857071,0.5253141522407532,26,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2015_T4_N_medium_I_low_daily.csv,,6446.3848876953125,-15.1947021484375,-15.1947021484375,,-30.151947021484375,-6.151947021484375,15193.22001139323,6077.288004557292
SYA,2015,T5,T5_N_medium_I_mid,120.0,150.0,ok,,True,143,9231.802978515625,17017.349853515625,1.3458467721939087,-5.181970214843744,42.818029785156256,0.0,0.0,0,0,0.063597237313544,0.506267249584198,25,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2015_T5_N_medium_I_mid_daily.csv,,6562.255859375,100.67626953125,100.67626953125,,-58.9932373046875,-10.993237304687497,7693.169148763021,6154.535319010417
SYA,2015,T6,T6_N_high_I_mid,120.0,225.0,ok,,True,143,10893.228759765625,18665.850830078125,1.3435900211334229,-7.317712402343744,40.682287597656256,0.0,0.0,0,0,0.00880032736104685,0.18444490432739258,8,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/SYA/SYA_2015_T6_N_high_I_mid_daily.csv,,8223.681640625,1762.10205078125,,,,,9077.690633138021,4841.435004340277
YCA,2008,T0,T0_null_zero,0.0,0.0,ok,,True,111,1486.1929321289062,4027.7825927734375,0.2026338428258896,14.861929321289063,14.861929321289063,0.0,0.0,0,0,0.30725194366128594,0.5472724437713623,92,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2008_T0_null_zero_daily.csv,,0.0,-5859.302673339844,,,,,,
YCA,2008,T1,T1_N_only_low,0.0,75.0,ok,,True,111,5194.9627685546875,12063.438720703125,0.9804299473762512,33.19962768554688,33.19962768554688,0.0,0.0,0,0,0.15032329484149143,0.3474413752555847,76,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2008_T1_N_only_low_daily.csv,,3708.7698364257812,-2150.5328369140625,,3708.7698364257812,,,,6926.617024739583
YCA,2008,T2,T2_N_only_medium,0.0,150.0,ok,,True,111,7345.49560546875,16863.1298828125,2.0071163177490234,35.9549560546875,35.9549560546875,0.0,0.0,0,0,0.050073949066368306,0.18787360191345215,39,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2008_T2_N_only_medium_daily.csv,,5859.302673339844,0.0,,5859.302673339844,,,,4896.9970703125
YCA,2008,T3,T3_I_only_low,60.0,0.0,ok,,True,111,1529.8368835449219,4062.911376953125,0.21331630647182465,-14.701631164550781,9.298368835449219,0.0,0.0,0,0,0.2970176521722261,0.5518729090690613,92,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2008_T3_I_only_low_daily.csv,,43.643951416015625,-5815.658721923828,43.643951416015625,,-29.563560485839844,-5.563560485839844,2549.7281392415366,
YCA,2008,T4,T4_N_medium_I_low,60.0,150.0,ok,,True,111,7340.7769775390625,16851.783447265625,2.0056607723236084,5.9077697753906335,29.907769775390634,0.0,0.0,0,0,0.04960326514802538,0.18152976036071777,39,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2008_T4_N_medium_I_low_daily.csv,,5854.584045410156,-4.7186279296875,-4.7186279296875,,-30.047186279296866,-6.0471862792968665,12234.628295898438,4893.851318359375
YCA,2008,T5,T5_N_medium_I_mid,120.0,150.0,ok,,True,111,7301.671142578125,16734.600830078125,1.9799044132232666,-24.483288574218747,23.516711425781253,0.0,0.0,0,0,0.049632163198144584,0.17885613441467285,39,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2008_T5_N_medium_I_mid_daily.csv,,5815.478210449219,-43.824462890625,-43.824462890625,,-60.43824462890625,-12.438244628906247,6084.7259521484375,4867.78076171875
YCA,2008,T6,T6_N_high_I_mid,120.0,225.0,ok,,True,111,8025.0653076171875,18424.80712890625,2.0542173385620117,-35.99934692382813,12.000653076171872,0.0,0.0,0,0,0.004924469702952617,0.0601879358291626,5,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2008_T6_N_high_I_mid_daily.csv,,6538.872375488281,679.5697021484375,,,,,6687.554423014323,3566.6956922743057
YCA,2014,T0,T0_null_zero,0.0,0.0,ok,,True,109,1424.9851989746094,3799.8739624023438,0.1620643138885498,14.249851989746094,14.249851989746094,0.0,0.0,0,0,0.3523896279138163,0.5558226108551025,89,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2014_T0_null_zero_daily.csv,,0.0,-6198.393707275391,,,,,,
YCA,2014,T1,T1_N_only_low,0.0,75.0,ok,,True,109,4828.561706542969,11106.2109375,0.7682660818099976,29.53561706542969,29.53561706542969,0.0,0.0,0,0,0.17160011923641239,0.418942928314209,75,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2014_T1_N_only_low_daily.csv,,3403.5765075683594,-2794.8171997070312,,3403.5765075683594,,,,6438.082275390625
YCA,2014,T2,T2_N_only_medium,0.0,150.0,ok,,True,109,7623.37890625,16481.256103515625,2.0831964015960693,38.73378906250001,38.73378906250001,0.02524785601764644,0.6808976829051971,7,5,0.07654966290937651,0.3595120310783386,50,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2014_T2_N_only_medium_daily.csv,,6198.393707275391,0.0,,6198.393707275391,,,,5082.252604166667
YCA,2014,T3,T3_I_only_low,60.0,0.0,ok,,True,109,1537.5222778320312,3984.0298461914062,0.1779007613658905,-14.624777221679688,9.375222778320312,0.0,0.0,0,0,0.33257114066990145,0.5520037412643433,89,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2014_T3_I_only_low_daily.csv,,112.53707885742188,-6085.856628417969,112.53707885742188,,-28.874629211425784,-4.874629211425782,2562.5371297200522,
YCA,2014,T4,T4_N_medium_I_low,60.0,150.0,ok,,True,109,8090.82763671875,17075.882568359375,2.156214475631714,13.408276367187497,37.4082763671875,0.0,0.0,0,0,0.07830203837210979,0.40364396572113037,47,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2014_T4_N_medium_I_low_daily.csv,,6665.842437744141,467.44873046875,467.44873046875,,-25.32551269531251,-1.3255126953125114,13484.712727864584,5393.885091145833
YCA,2014,T5,T5_N_medium_I_mid,120.0,150.0,ok,,True,109,8233.374633789062,17298.819580078125,2.161975383758545,-15.16625366210937,32.83374633789063,0.0,0.0,0,0,0.07502712897204478,0.3951265215873718,46,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2014_T5_N_medium_I_mid_daily.csv,,6808.389434814453,609.9957275390625,609.9957275390625,,-53.90004272460938,-5.900042724609378,6861.145528157553,5488.916422526042
YCA,2014,T6,T6_N_high_I_mid,120.0,225.0,ok,,True,109,9143.892211914062,19743.870849609375,2.273430347442627,-24.811077880859372,23.188922119140628,0.0,0.0,0,0,0.006750941276550293,0.06694889068603516,10,Leave_One_experiments/water_nitrogen_factorial_diagnosis/daily_outputs/YCA/YCA_2014_T6_N_high_I_mid_daily.csv,,7718.907012939453,1520.5133056640625,,,,,7619.910176595053,4063.952094184028
