station,method,seed,prior_policy,train_year,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,bc_action_deviation_mean,bc_action_deviation_max,irrigation_saturation_ratio_100_200,n_saturation_ratio_100_200,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450,daily_csv_path,figure_dir,notes,model_path,augmented_rf_prior_yield,augmented_rf_prior_irrigation,augmented_rf_prior_n,augmented_rf_prior_profit,yield_loss_vs_augmented_rf_prior,yield_loss_vs_expert_best,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline,cap_regression_300_450,passes_low_input_gate
LCA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2010,2008,ok,True,105,7149.2926025390625,0.0,71.40655517578125,53.64128723144532,0.0,0.1508093623887925,4.877934528964928e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed0_eval2008_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_0_eval_2008,simday_safety_action_table_or_constrained_ppo,,7149.292602539063,0.0,71.40655594405594,53.64128703937665,1.2721464238992292e-16,,-0.039765288988576376,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,0,BC_random_forest_regressor_augmented,2010,2009,ok,True,102,6474.7100830078125,0.0,71.40655517578125,46.89546203613281,0.0,0.13009612408338808,5.021403191581543e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed0_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_0_eval_2009,simday_safety_action_table_or_constrained_ppo,,6474.7100830078125,0.0,71.40655594405594,46.895461844064144,0.0,,0.05834336698081955,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2010,2010,ok,True,92,5902.408447265625,0.0,71.40655517578125,41.172445678710936,0.0,0.10509858248026474,5.567207886318668e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed1_eval2010_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_1_eval_2010,simday_safety_action_table_or_constrained_ppo,,5902.408447265625,0.0,71.40655594405594,41.17244548664226,0.0,,0.14157668931886122,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2010,2011,ok,True,102,6583.6737060546875,0.0,71.40655517578125,47.98509826660157,0.0,0.14014268330499238,5.021403191581543e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed1_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_1_eval_2011,simday_safety_action_table_or_constrained_ppo,,6583.673706054688,0.0,71.40655594405594,47.9850980745329,1.3814395159597742e-16,,0.04249612176297252,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2010,2008,ok,True,105,7149.2926025390625,0.0,71.40655517578125,53.64128723144532,0.0,0.1508093623887925,4.877934528964928e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed1_eval2008_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_1_eval_2008,simday_safety_action_table_or_constrained_ppo,,7149.292602539063,0.0,71.40655594405594,53.64128703937665,1.2721464238992292e-16,,-0.039765288988576376,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,1,BC_random_forest_regressor_augmented,2010,2009,ok,True,102,6474.7100830078125,0.0,71.40655517578125,46.89546203613281,0.0,0.13009612408338808,5.021403191581543e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed1_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_1_eval_2009,simday_safety_action_table_or_constrained_ppo,,6474.7100830078125,0.0,71.40655594405594,46.895461844064144,0.0,,0.05834336698081955,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2010,2010,ok,True,92,5902.408447265625,0.0,71.40655517578125,41.172445678710936,0.0,0.10509858248026474,5.567207886318668e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed2_eval2010_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_2_eval_2010,simday_safety_action_table_or_constrained_ppo,,5902.408447265625,0.0,71.40655594405594,41.17244548664226,0.0,,0.14157668931886122,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2010,2011,ok,True,102,6583.6737060546875,0.0,71.40655517578125,47.98509826660157,0.0,0.14014268330499238,5.021403191581543e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed2_eval2011_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_2_eval_2011,simday_safety_action_table_or_constrained_ppo,,6583.673706054688,0.0,71.40655594405594,47.9850980745329,1.3814395159597742e-16,,0.04249612176297252,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2010,2008,ok,True,105,7149.2926025390625,0.0,71.40655517578125,53.64128723144532,0.0,0.1508093623887925,4.877934528964928e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed2_eval2008_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_2_eval_2008,simday_safety_action_table_or_constrained_ppo,,7149.292602539063,0.0,71.40655594405594,53.64128703937665,1.2721464238992292e-16,,-0.039765288988576376,0.904791259765625,False,True
LCA,MS0_augmented_RF_prior_replay,2,BC_random_forest_regressor_augmented,2010,2009,ok,True,102,6474.7100830078125,0.0,71.40655517578125,46.89546203613281,0.0,0.13009612408338808,5.021403191581543e-11,5.1218312554131744e-09,0.0,0.35703277587890625,0.0,0.15868123372395834,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/LCA_MS0_augmented_RF_prior_replay_seed2_eval2009_daily.csv,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/figures/LCA/MS0_augmented_RF_prior_replay/seed_2_eval_2009,simday_safety_action_table_or_constrained_ppo,,6474.7100830078125,0.0,71.40655594405594,46.895461844064144,0.0,,0.05834336698081955,0.904791259765625,False,True
