schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
SYA2012_S0071,SYA,2012,150.0,100.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,0.0
SYA2012_S0072,SYA,2012,150.0,150.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,50.0
SYA2012_S0073,SYA,2012,150.0,200.0,1,0.0,30,0.0,60,150.0,25,100.0,50,0.0,75,100.0
SYA2012_S0074,SYA,2012,150.0,150.0,1,0.0,30,0.0,60,150.0,25,100.0,50,50.0,75,0.0
SYA2012_S0075,SYA,2012,150.0,200.0,1,0.0,30,0.0,60,150.0,25,100.0,50,50.0,75,50.0
SYA2012_S0076,SYA,2012,150.0,250.0,1,0.0,30,0.0,60,150.0,25,100.0,50,50.0,75,100.0
SYA2012_S0077,SYA,2012,150.0,200.0,1,0.0,30,0.0,60,150.0,25,100.0,50,100.0,75,0.0
SYA2012_S0078,SYA,2012,150.0,250.0,1,0.0,30,0.0,60,150.0,25,100.0,50,100.0,75,50.0
SYA2012_S0079,SYA,2012,75.0,0.0,1,0.0,30,75.0,60,0.0,25,0.0,50,0.0,75,0.0
SYA2012_S0080,SYA,2012,75.0,50.0,1,0.0,30,75.0,60,0.0,25,0.0,50,0.0,75,50.0
SYA2012_S0081,SYA,2012,75.0,100.0,1,0.0,30,75.0,60,0.0,25,0.0,50,0.0,75,100.0
SYA2012_S0082,SYA,2012,75.0,50.0,1,0.0,30,75.0,60,0.0,25,0.0,50,50.0,75,0.0
SYA2012_S0083,SYA,2012,75.0,100.0,1,0.0,30,75.0,60,0.0,25,0.0,50,50.0,75,50.0
SYA2012_S0084,SYA,2012,75.0,150.0,1,0.0,30,75.0,60,0.0,25,0.0,50,50.0,75,100.0
SYA2012_S0085,SYA,2012,75.0,100.0,1,0.0,30,75.0,60,0.0,25,0.0,50,100.0,75,0.0
SYA2012_S0086,SYA,2012,75.0,150.0,1,0.0,30,75.0,60,0.0,25,0.0,50,100.0,75,50.0
SYA2012_S0087,SYA,2012,75.0,200.0,1,0.0,30,75.0,60,0.0,25,0.0,50,100.0,75,100.0
SYA2012_S0088,SYA,2012,75.0,50.0,1,0.0,30,75.0,60,0.0,25,50.0,50,0.0,75,0.0
SYA2012_S0089,SYA,2012,75.0,100.0,1,0.0,30,75.0,60,0.0,25,50.0,50,0.0,75,50.0
SYA2012_S0090,SYA,2012,75.0,150.0,1,0.0,30,75.0,60,0.0,25,50.0,50,0.0,75,100.0
SYA2012_S0091,SYA,2012,75.0,100.0,1,0.0,30,75.0,60,0.0,25,50.0,50,50.0,75,0.0
SYA2012_S0092,SYA,2012,75.0,150.0,1,0.0,30,75.0,60,0.0,25,50.0,50,50.0,75,50.0
SYA2012_S0093,SYA,2012,75.0,200.0,1,0.0,30,75.0,60,0.0,25,50.0,50,50.0,75,100.0
SYA2012_S0094,SYA,2012,75.0,150.0,1,0.0,30,75.0,60,0.0,25,50.0,50,100.0,75,0.0
