schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
LCA2010_S0080,LCA,2010,75.0,50.0,1,0.0,30,75.0,60,0.0,25,0.0,50,0.0,75,50.0
LCA2010_S0081,LCA,2010,75.0,100.0,1,0.0,30,75.0,60,0.0,25,0.0,50,0.0,75,100.0
LCA2010_S0082,LCA,2010,75.0,50.0,1,0.0,30,75.0,60,0.0,25,0.0,50,50.0,75,0.0
LCA2010_S0083,LCA,2010,75.0,100.0,1,0.0,30,75.0,60,0.0,25,0.0,50,50.0,75,50.0
LCA2010_S0084,LCA,2010,75.0,150.0,1,0.0,30,75.0,60,0.0,25,0.0,50,50.0,75,100.0
LCA2010_S0085,LCA,2010,75.0,100.0,1,0.0,30,75.0,60,0.0,25,0.0,50,100.0,75,0.0
LCA2010_S0086,LCA,2010,75.0,150.0,1,0.0,30,75.0,60,0.0,25,0.0,50,100.0,75,50.0
LCA2010_S0087,LCA,2010,75.0,200.0,1,0.0,30,75.0,60,0.0,25,0.0,50,100.0,75,100.0
LCA2010_S0088,LCA,2010,75.0,50.0,1,0.0,30,75.0,60,0.0,25,50.0,50,0.0,75,0.0
LCA2010_S0089,LCA,2010,75.0,100.0,1,0.0,30,75.0,60,0.0,25,50.0,50,0.0,75,50.0
LCA2010_S0090,LCA,2010,75.0,150.0,1,0.0,30,75.0,60,0.0,25,50.0,50,0.0,75,100.0
LCA2010_S0091,LCA,2010,75.0,100.0,1,0.0,30,75.0,60,0.0,25,50.0,50,50.0,75,0.0
LCA2010_S0092,LCA,2010,75.0,150.0,1,0.0,30,75.0,60,0.0,25,50.0,50,50.0,75,50.0
LCA2010_S0093,LCA,2010,75.0,200.0,1,0.0,30,75.0,60,0.0,25,50.0,50,50.0,75,100.0
LCA2010_S0094,LCA,2010,75.0,150.0,1,0.0,30,75.0,60,0.0,25,50.0,50,100.0,75,0.0
LCA2010_S0095,LCA,2010,75.0,200.0,1,0.0,30,75.0,60,0.0,25,50.0,50,100.0,75,50.0
LCA2010_S0096,LCA,2010,75.0,250.0,1,0.0,30,75.0,60,0.0,25,50.0,50,100.0,75,100.0
LCA2010_S0097,LCA,2010,75.0,100.0,1,0.0,30,75.0,60,0.0,25,100.0,50,0.0,75,0.0
