station,policy_name,model_type,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,figure_dir,notes,yield_loss_vs_expert_schedule,yield_loss_vs_ppo_baseline,irrigation_diff_vs_expert,n_diff_vs_expert
SYA,BC_random_forest_regressor,random_forest_regressor,2014,ok,True,144,5991.3616943359375,0.0,59.78878968253967,0.0,0.1519659215377437,44.966419522724465,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_random_forest_regressor_eval2014_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_random_forest_regressor/eval_2014,action_table_replay_from_bc_model,0.3253859484232874,0.12863967529684625,0.0,-90.21121031746033
SYA,BC_random_forest_regressor,random_forest_regressor,2015,ok,True,143,5783.9080810546875,0.0,59.78878968253967,0.0,0.14087469990436846,42.89188338991195,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_random_forest_regressor_eval2015_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_random_forest_regressor/eval_2015,action_table_replay_from_bc_model,0.36259040925530334,0.1588109213427133,0.0,-90.21121031746033
LCA,BC_random_forest_regressor,random_forest_regressor,2010,ok,True,92,6890.1751708984375,0.0,86.82827380952381,0.00040795556876970375,0.08263072177119878,47.194683256603426,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_random_forest_regressor_eval2010_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_random_forest_regressor/eval_2010,action_table_replay_from_bc_model,0.1396394535695374,-0.002080258291118633,0.0,-63.17172619047619
LCA,BC_random_forest_regressor,random_forest_regressor,2011,ok,True,102,7292.7764892578125,0.0,86.82827380952381,0.0,0.11633376923261904,51.22069644019717,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_random_forest_regressor_eval2011_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_random_forest_regressor/eval_2011,action_table_replay_from_bc_model,0.18148021390257105,-0.0606330269919616,0.0,-63.17172619047619
LCA,BC_random_forest_regressor,random_forest_regressor,2008,ok,True,105,7809.2510986328125,0.0,86.82827380952381,0.0,0.11162327982130504,56.38544253394717,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_random_forest_regressor_eval2008_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_random_forest_regressor/eval_2008,action_table_replay_from_bc_model,0.15537303582965686,-0.1357470839101719,0.0,-63.17172619047619
LCA,BC_random_forest_regressor,random_forest_regressor,2009,ok,True,102,7461.8292236328125,0.0,86.82827380952381,0.0,0.10518913993648454,52.91122378394718,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_random_forest_regressor_eval2009_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_random_forest_regressor/eval_2009,action_table_replay_from_bc_model,0.1582229803552833,-0.08521939867708532,0.0,-63.17172619047619
HLA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2011,ok,True,169,5971.6778564453125,0.0,132.75,0.0,0.14038989706152288,26.52927856445313,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_two_stage_classifier_regressor_eval2011_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_two_stage_classifier_regressor/eval_2011,action_table_replay_from_bc_model,0.06166810411919594,0.13150241606444069,0.0,-17.25
HLA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2007,ok,True,149,6252.432861328125,0.0,132.75,0.0,0.10618150134214618,29.33682861328125,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_two_stage_classifier_regressor_eval2007_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_two_stage_classifier_regressor/eval_2007,action_table_replay_from_bc_model,0.08046713482359379,0.09067050093436307,0.0,-17.25
HLA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2009,ok,True,159,7116.7626953125,0.0,132.75,0.0,0.2013745309796723,37.98012695312501,Leave_One_experiments/imitation_learning_prior/daily_outputs/HLA/HLA_BC_two_stage_classifier_regressor_eval2009_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/HLA/BC_two_stage_classifier_regressor/eval_2009,action_table_replay_from_bc_model,-0.0031204855679263085,-0.03503426589739866,0.0,-17.25
SYA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2012,ok,True,135,8687.786254882812,0.0,138.5,0.0,0.05952452730249475,52.25286254882813,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_two_stage_classifier_regressor_eval2012_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_two_stage_classifier_regressor/eval_2012,action_table_replay_from_bc_model,0.03579523408507613,-0.2635178175210032,0.0,-11.5
SYA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2014,ok,True,144,8756.624145507812,0.0,138.5,0.04553212494485908,0.09265689282781547,52.94124145507813,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_two_stage_classifier_regressor_eval2014_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_two_stage_classifier_regressor/eval_2014,action_table_replay_from_bc_model,0.014023523480459089,-0.2735293323964256,0.0,-11.5
SYA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2015,ok,True,143,8692.003784179688,0.0,138.5,0.0,0.08187630251571015,52.29503784179688,Leave_One_experiments/imitation_learning_prior/daily_outputs/SYA/SYA_BC_two_stage_classifier_regressor_eval2015_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/SYA/BC_two_stage_classifier_regressor/eval_2015,action_table_replay_from_bc_model,0.04210673869923406,-0.26413119856609085,0.0,-11.5
LCA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2010,ok,True,92,8023.3807373046875,0.0,180.5,0.0,0.0024334976206655087,35.10880737304687,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_eval2010_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_two_stage_classifier_regressor/eval_2010,action_table_replay_from_bc_model,-0.0018613553575299114,-0.1668892651038203,0.0,30.5
LCA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2011,ok,True,102,9126.643676757812,0.0,180.5,0.0,0.0012096026364494773,46.14143676757813,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_eval2011_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_two_stage_classifier_regressor/eval_2011,action_table_replay_from_bc_model,-0.02434764607018899,-0.32734353279786615,0.0,30.5
LCA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2008,ok,True,105,9245.808715820312,0.0,180.5,0.0,0.0012083314713977633,47.33308715820313,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_eval2008_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_two_stage_classifier_regressor/eval_2008,action_table_replay_from_bc_model,-1.0562229454268748e-06,-0.3446744322541496,0.0,30.5
LCA,BC_two_stage_classifier_regressor,two_stage_classifier_regressor,2009,ok,True,102,9045.416259765625,0.0,180.5,0.0,0.00024068121816597733,45.32916259765625,Leave_One_experiments/imitation_learning_prior/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_eval2009_daily.csv,Leave_One_experiments/imitation_learning_prior/figures/LCA/BC_two_stage_classifier_regressor/eval_2009,action_table_replay_from_bc_model,-0.020423184770283754,-0.3155301334312376,0.0,30.5
