station,cap_name,season_irrigation_cap,season_n_cap,train_year,eval_year,total_irrigation,total_n_fertilizer,irrigation_saturation_ratio,n_saturation_ratio,irrigation_at_cap,n_at_cap,num_irrigation_clipped_days,num_n_clipped_days,num_safety_trigger_days,dominant_safety_rule,notes
FQA,cap_high,300.0,450.0,2010,2008,300.0,450.0,1.0,1.0,True,True,93,105,105,amir_min_interval,at_or_near_cap
YCA,cap_low,100.0,150.0,2008,2008,100.0,150.0,1.0,1.0,True,True,108,111,111,amir_season_limit,at_or_near_cap
YCA,cap_low,100.0,150.0,2008,2014,100.0,150.0,1.0,1.0,True,True,106,109,109,amir_season_limit,at_or_near_cap
YCA,cap_mid_low,150.0,225.0,2008,2008,150.0,225.0,1.0,1.0,True,True,106,111,111,amir_season_limit,at_or_near_cap
YCA,cap_mid_low,150.0,225.0,2008,2014,150.0,225.0,1.0,1.0,True,True,104,109,109,amir_season_limit,at_or_near_cap
YCA,cap_current,200.0,300.0,2008,2008,200.0,300.0,1.0,1.0,True,True,104,111,111,anfer_season_limit,at_or_near_cap
YCA,cap_current,200.0,300.0,2008,2014,200.0,300.0,1.0,1.0,True,True,102,109,109,anfer_season_limit,at_or_near_cap
YCA,cap_mid_high,250.0,375.0,2008,2008,250.0,375.0,1.0,1.0,True,True,102,111,111,amir_min_interval,at_or_near_cap
YCA,cap_mid_high,250.0,375.0,2008,2014,250.0,375.0,1.0,1.0,True,True,100,109,109,amir_min_interval,at_or_near_cap
YCA,cap_high,300.0,450.0,2008,2008,300.0,450.0,1.0,1.0,True,True,100,111,111,amir_min_interval,at_or_near_cap
YCA,cap_high,300.0,450.0,2008,2014,300.0,450.0,1.0,1.0,True,True,98,109,109,amir_min_interval,at_or_near_cap
