station,policy_name,train_year,train_year_label,eval_year,eval_year_label,seed,model_path,run_status,error_message,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,mean_reward,sum_reward,daily_csv_path,figure_dir,notes,cap_name,season_irrigation_cap,season_n_cap,cv_type,quality_gate_pass,quality_gate_reason
SYA,SYA_train2012_cap_mid_low_seed0_action_safe,2012,observed_high_rain_year,2015,observed_mid_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_low_seed0_action_safe.zip,ok,,True,143,10286.0888671875,18046.0498046875,1.331099271774292,150.0,225.0,0.0,0.0327232605093842,111.34689653632633,15922.606204694664,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_mid_low_eval2015_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_mid_low_seed0_action_safe/eval_2015,action_safe_eval,cap_mid_low,150.0,225.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_current_seed0_action_safe,2012,observed_high_rain_year,2012,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_current_seed0_action_safe.zip,ok,,True,135,9194.974975585938,14909.44580078125,0.9644899368286132,200.0,300.0,0.0,0.0004247696311385,88.83232786393206,11992.364261630828,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_current_eval2012_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_current_seed0_action_safe/eval_2012,action_safe_eval,cap_current,200.0,300.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_current_seed0_action_safe,2012,observed_high_rain_year,2014,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_current_seed0_action_safe.zip,ok,,True,144,10799.345703125,18961.484375,1.3761756420135498,200.0,300.0,0.0,0.0005194130871031,111.79217067266411,16098.072576863631,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_current_eval2014_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_current_seed0_action_safe/eval_2014,action_safe_eval,cap_current,200.0,300.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_current_seed0_action_safe,2012,observed_high_rain_year,2015,observed_mid_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_current_seed0_action_safe.zip,ok,,True,143,10763.299560546877,18173.0078125,1.2343097925186155,200.0,300.0,0.0,0.0003445477752418,107.02245674710193,15304.211314835577,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_current_eval2015_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_current_seed0_action_safe/eval_2015,action_safe_eval,cap_current,200.0,300.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_mid_high_seed0_action_safe,2012,observed_high_rain_year,2012,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_high_seed0_action_safe.zip,ok,,True,135,8504.361572265625,13185.067138671877,0.7938560247421265,250.0,375.0,0.0,0.0004247691896226,70.08512157913091,9461.491413182674,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_mid_high_eval2012_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_mid_high_seed0_action_safe/eval_2012,action_safe_eval,cap_mid_high,250.0,375.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_mid_high_seed0_action_safe,2012,observed_high_rain_year,2014,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_high_seed0_action_safe.zip,ok,,True,144,10528.28369140625,17924.39697265625,1.2327975034713743,250.0,375.0,0.0,0.000397899084621,99.09736176049522,14270.020093511312,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_mid_high_eval2014_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_mid_high_seed0_action_safe/eval_2014,action_safe_eval,cap_mid_high,250.0,375.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_mid_high_seed0_action_safe,2012,observed_high_rain_year,2015,observed_mid_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_high_seed0_action_safe.zip,ok,,True,143,10564.90966796875,17608.953857421875,1.1570682525634766,250.0,375.0,0.0,0.0003445481920575,97.5263887444206,13946.273590452149,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_mid_high_eval2015_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_mid_high_seed0_action_safe/eval_2015,action_safe_eval,cap_mid_high,250.0,375.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_high_seed0_action_safe,2012,observed_high_rain_year,2012,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_high_seed0_action_safe.zip,ok,,True,135,8319.456176757812,12516.512451171877,0.75462406873703,300.0,450.0,0.0,0.0004247691896226,59.27031755418287,8001.492869814687,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_high_eval2012_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_high_seed0_action_safe/eval_2012,action_safe_eval,cap_high,300.0,450.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_high_seed0_action_safe,2012,observed_high_rain_year,2014,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_high_seed0_action_safe.zip,ok,,True,144,10378.397216796877,17349.62158203125,1.166548728942871,300.0,450.0,0.0,0.000397899084621,89.60684835633128,12903.386163311705,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_high_eval2014_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_high_seed0_action_safe/eval_2014,action_safe_eval,cap_high,300.0,450.0,observed_year_leave_one,True,
SYA,SYA_train2012_cap_high_seed0_action_safe,2012,observed_high_rain_year,2015,observed_mid_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_high_seed0_action_safe.zip,ok,,True,143,10247.30224609375,16943.32275390625,1.104259014129639,300.0,450.0,0.0,0.0003445481920575,87.31275305553018,12485.723686940815,Leave_One_experiments/season_cap_sensitivity/daily_outputs/SYA/SYA_train2012_cap_high_eval2015_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/SYA/SYA_train2012_cap_high_seed0_action_safe/eval_2015,action_safe_eval,cap_high,300.0,450.0,observed_year_leave_one,True,
LCA,LCA_train2010_cap_low_seed0_action_safe,2010,observed_low_rain_year,2010,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_low_seed0_action_safe.zip,ok,,True,92,8034.056396484375,15595.9326171875,1.526764750480652,100.0,150.0,0.0,0.002979748274969,154.444275055697,14208.873305124123,Leave_One_experiments/season_cap_sensitivity/daily_outputs/LCA/LCA_train2010_cap_low_eval2010_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/LCA/LCA_train2010_cap_low_seed0_action_safe/eval_2010,action_safe_eval,cap_low,100.0,150.0,observed_year_leave_one,True,
LCA,LCA_train2010_cap_low_seed0_action_safe,2010,observed_low_rain_year,2011,observed_mid_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_low_seed0_action_safe.zip,ok,,True,102,8584.00146484375,16822.7880859375,1.648896098136902,100.0,150.0,0.0005677681343228,0.0368962743703056,151.3198589503504,15434.625612935744,Leave_One_experiments/season_cap_sensitivity/daily_outputs/LCA/LCA_train2010_cap_low_eval2011_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/LCA/LCA_train2010_cap_low_seed0_action_safe/eval_2011,action_safe_eval,cap_low,100.0,150.0,observed_year_leave_one,True,
LCA,LCA_train2010_cap_low_seed0_action_safe,2010,observed_low_rain_year,2008,observed_intermediate_rain_year_3,0,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_low_seed0_action_safe.zip,ok,,True,105,8806.803588867188,16598.597412109375,1.5606533288955688,100.0,150.0,0.0007382608595348,0.0353252910432361,144.8418599287211,15208.395292515715,Leave_One_experiments/season_cap_sensitivity/daily_outputs/LCA/LCA_train2010_cap_low_eval2008_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/LCA/LCA_train2010_cap_low_seed0_action_safe/eval_2008,action_safe_eval,cap_low,100.0,150.0,observed_year_leave_one,True,
LCA,LCA_train2010_cap_low_seed0_action_safe,2010,observed_low_rain_year,2009,observed_high_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_low_seed0_action_safe.zip,ok,,True,102,8735.029296875,16989.65087890625,1.7401214838027954,100.0,150.0,0.0,0.0262786798617419,153.0186133374752,15607.898560422467,Leave_One_experiments/season_cap_sensitivity/daily_outputs/LCA/LCA_train2010_cap_low_eval2009_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/LCA/LCA_train2010_cap_low_seed0_action_safe/eval_2009,action_safe_eval,cap_low,100.0,150.0,observed_year_leave_one,True,
LCA,LCA_train2010_cap_mid_low_seed0_action_safe,2010,observed_low_rain_year,2010,observed_low_rain_year,0,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_mid_low_seed0_action_safe.zip,ok,,True,92,8038.693237304687,15680.11474609375,1.5267865657806396,150.0,225.0,0.0,0.0002988078024076,146.96618004772773,13520.888564390953,Leave_One_experiments/season_cap_sensitivity/daily_outputs/LCA/LCA_train2010_cap_mid_low_eval2010_seed0_daily.csv,Leave_One_experiments/season_cap_sensitivity/figures/LCA/LCA_train2010_cap_mid_low_seed0_action_safe/eval_2010,action_safe_eval,cap_mid_low,150.0,225.0,observed_year_leave_one,True,
