station,policy_name,model_type,eval_year,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,mean_swfac,mean_nstres,profit_score,daily_csv_path,notes,expert_best_yield,expert_best_i,expert_best_n,yield_loss_vs_expert_best,yield_loss_vs_ppo_baseline,input_reduction_vs_ppo_baseline,irrigation_saturation_ratio_300_450,n_saturation_ratio_300_450
LCA,BC_mlp_regressor_augmented,mlp_regressor_augmented,2009,ok,True,102.0,2897.158203125,0.0,0.0,0.0,0.2181446061414831,28.97158203125,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_mlp_regressor_augmented_eval2009_daily.csv,augmented_policy_action_table_replay,7057.9693603515625,0.0,75.0,0.5895195834371417,0.578648587519267,1.0,0.0,0.0
HLA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2011,ok,True,169.0,5253.0572509765625,0.0,75.0,0.0,0.29010302233978136,33.780572509765626,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_BC_two_stage_classifier_regressor_augmented_eval2011_daily.csv,augmented_policy_action_table_replay,5253.0572509765625,0.0,75.0,0.0,0.23601579984355678,0.9,0.0,0.16666666666666666
HLA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2007,ok,True,149.0,5117.66357421875,0.0,75.0,0.0,0.24060932301834925,32.4266357421875,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_BC_two_stage_classifier_regressor_augmented_eval2007_daily.csv,augmented_policy_action_table_replay,5117.66357421875,0.0,75.0,0.0,0.25570692919967175,0.9,0.0,0.16666666666666666
HLA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2009,ok,True,159.0,5001.346435546875,0.0,75.0,0.0,0.2939533502238352,31.26346435546875,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/HLA/HLA_BC_two_stage_classifier_regressor_augmented_eval2009_daily.csv,augmented_policy_action_table_replay,7377.513427734375,0.0,150.0,0.32208236765178183,0.27262364110799875,0.9,0.0,0.16666666666666666
SYA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2012,ok,True,135.0,6935.3009033203125,0.0,75.0,0.0,0.1233549881864477,50.60300903320312,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_two_stage_classifier_regressor_augmented_eval2012_daily.csv,augmented_policy_action_table_replay,9270.888671875,0.0,150.0,0.25192706451541547,-0.008643169172090044,0.9,0.0,0.16666666666666666
SYA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2014,ok,True,144.0,7085.7855224609375,0.0,75.0,0.023640926306446392,0.14938737100197208,52.10785522460938,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_two_stage_classifier_regressor_augmented_eval2014_daily.csv,augmented_policy_action_table_replay,7085.7855224609375,0.0,75.0,0.0,-0.030529066450027464,0.9,0.0,0.16666666666666666
SYA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2015,ok,True,143.0,6871.4178466796875,0.0,75.0,0.0,0.1345129275655413,49.96417846679688,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/SYA/SYA_BC_two_stage_classifier_regressor_augmented_eval2015_daily.csv,augmented_policy_action_table_replay,9254.323120117188,0.0,150.0,0.2574910387835394,0.0006477339342988123,0.9,0.0,0.16666666666666666
LCA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2010,ok,True,92.0,5999.26025390625,0.0,75.0,0.0,0.09749581567619157,41.2426025390625,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_augmented_eval2010_daily.csv,augmented_policy_action_table_replay,6756.5509033203125,0.0,75.0,0.1120824308512075,0.1274909395364295,0.9,0.0,0.16666666666666666
LCA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2011,ok,True,102.0,6698.939208984375,0.0,75.0,0.0,0.1356693114720139,48.23939208984375,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_augmented_eval2011_daily.csv,augmented_policy_action_table_replay,7061.177368164063,0.0,75.0,0.051299966038648295,0.025732355663717347,0.9,0.0,0.16666666666666666
LCA,BC_two_stage_classifier_regressor_augmented,two_stage_classifier_regressor_augmented,2008,ok,True,105.0,7212.7587890625,0.0,75.0,0.0,0.14414961565108525,53.37758789062501,Leave_One_experiments/expert_dataset_augmentation/daily_outputs/LCA/LCA_BC_two_stage_classifier_regressor_augmented_eval2008_daily.csv,augmented_policy_action_table_replay,7431.153564453125,0.0,75.0,0.02938908118321158,-0.04899556412770114,0.9,0.0,0.16666666666666666
