schedule_id,station,eval_year,run_status,episode_completed,episode_length,final_grnwt,final_topwt,final_xlai,total_irrigation,total_n_fertilizer,planned_total_irrigation,planned_total_n,mean_swfac,mean_nstres,yield_per_100mm_irrigation,yield_per_100kg_n,profit_score,daily_csv_path,notes,expert_type,copied_daily_csv_path
HLA2011_S0112,HLA,2009,ok,True,159,7301.583251953125,15063.1494140625,0.127061516046524,100.0,150.0,150.0,150.0,0.0,0.1706423717287351,7301.583251953125,4867.72216796875,-14.48416748046874,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0112_eval2009_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0112_eval2009_daily.csv
HLA2011_S0113,HLA,2011,ok,True,169,6422.036743164063,14681.70654296875,0.0001933593739522,100.0,150.0,200.0,150.0,0.0,0.1190933997814471,6422.036743164063,4281.357828776042,-23.27963256835937,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0113_eval2011_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0113_eval2011_daily.csv
HLA2011_S0113,HLA,2007,ok,True,149,6802.2491455078125,17718.494873046875,1.1344465017318726,100.0,150.0,200.0,150.0,0.0,0.0836784527605812,6802.2491455078125,4534.832763671875,-19.477508544921875,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0113_eval2007_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0113_eval2007_daily.csv
HLA2011_S0113,HLA,2009,ok,True,159,7301.583251953125,15063.1494140625,0.127061516046524,100.0,150.0,200.0,150.0,0.0,0.1706423717287351,7301.583251953125,4867.72216796875,-14.48416748046874,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0113_eval2009_daily.csv,,medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0113_eval2009_daily.csv
HLA2011_S0105,HLA,2011,ok,True,169,6414.14306640625,15258.697509765623,0.0002084960869979,0.0,150.0,0.0,150.0,0.0,0.1103408752813847,,4276.095377604167,26.641430664062497,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0105_eval2011_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0105_eval2011_daily.csv
HLA2011_S0105,HLA,2007,ok,True,149,6795.7940673828125,17692.880859375,1.1185595989227295,0.0,150.0,0.0,150.0,0.0,0.0853769231162615,,4530.529378255208,30.45794067382812,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0105_eval2007_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0105_eval2007_daily.csv
HLA2011_S0105,HLA,2009,ok,True,159,7377.513427734375,15341.00341796875,0.1307753920555114,0.0,150.0,0.0,150.0,0.0,0.1698227682203617,,4918.34228515625,36.27513427734375,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0105_eval2009_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0105_eval2009_daily.csv
HLA2011_S0106,HLA,2011,ok,True,169,6394.025268554688,15086.4892578125,0.0002021484251599,50.0,150.0,50.0,150.0,0.0,0.1110829393539203,12788.050537109377,4262.683512369792,1.4402526855468736,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0106_eval2011_daily.csv,,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0106_eval2011_daily.csv
HLA2011_S0106,HLA,2007,ok,True,149,6797.0880126953125,17716.724853515625,1.1282247304916382,50.0,150.0,50.0,150.0,0.0,0.0843184086300382,13594.176025390623,4531.392008463542,5.470880126953119,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0106_eval2007_daily.csv,,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0106_eval2007_daily.csv
HLA2011_S0106,HLA,2009,ok,True,159,7378.679809570312,15271.5283203125,0.1303771883249282,50.0,150.0,50.0,150.0,0.0,0.169009840151049,14757.359619140623,4919.119873046875,11.286798095703134,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0106_eval2009_daily.csv,,low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0106_eval2009_daily.csv
HLA2011_S0157,HLA,2011,ok,True,169,6364.142456054688,15143.68896484375,0.0001997070212382,0.0,150.0,0.0,150.0,0.0,0.1126488655276552,,4242.761637369792,26.141424560546877,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0157_eval2011_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss;medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0157_eval2011_daily.csv
HLA2011_S0157,HLA,2007,ok,True,149,6799.5751953125,17707.07763671875,1.123168706893921,0.0,150.0,0.0,150.0,0.0,0.0851035688147448,,4533.050130208333,30.495751953124994,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0157_eval2007_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss;medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0157_eval2007_daily.csv
HLA2011_S0157,HLA,2009,ok,True,159,7094.6240234375,14759.12841796875,0.1115136668086052,0.0,150.0,0.0,150.0,0.0,0.1886217450758196,,4729.749348958333,33.446240234375,Leave_One_experiments/offline_schedule_search/daily_outputs/HLA/HLA_HLA2011_S0157_eval2009_daily.csv,,top_profit;pareto_balanced;low_input_within_5pct_yield_loss;low_input_within_10pct_yield_loss;medium_input_stable,Leave_One_experiments\expert_dataset_augmentation\daily_outputs\HLA\HLA_HLA2011_S0157_eval2009_daily.csv
