site,agent,dap,swfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
YC,expert,55.0,0.0,0.0,,8106.241455078125,0.0,4.811165809631348,3.382540225982666,9.999999046325684,279.5912868216386,-1.0,-1.0,0.0,0.0
YC,expert,56.0,0.0,0.0,,8342.369384765625,0.0,4.835680961608887,3.016390800476074,9.999999046325684,236.61831516622715,-1.0,-1.0,0.0,0.0
YC,expert,57.0,0.0,0.0022374391555786133,,8483.841552734375,0.0,4.836502552032471,1.7611658573150635,9.999999046325684,142.21043166196506,-1.0,-1.0,0.0,0.0
YC,expert,58.0,0.0,0.004007279872894287,,8587.711791992188,0.0,4.804136753082275,1.7758880853652954,9.999999046325684,104.14240992886688,-1.0,-1.0,0.0,0.0
YC,expert,59.0,0.0,0.0,,8932.501831054688,0.0,4.773231506347656,4.6627912521362305,9.999999046325684,345.0665857435291,-1.0,-1.0,0.0,0.0
YC,expert,60.0,0.0,0.0,,9241.526489257812,0.0,4.7437052726745605,4.186178684234619,9.999999046325684,309.3103650776364,-1.0,-1.0,0.0,0.0
YC,expert,61.0,0.0,0.0,,9241.466064453125,0.0,4.715481758117676,0.5741440653800964,9.999999046325684,-0.0604248046875,-1.0,-1.0,0.0,0.0
YC,expert,62.0,0.0,0.0,,9530.711669921875,0.0,4.688491344451904,4.015872955322266,9.999999046325684,289.24560546875,-1.0,-1.0,0.0,0.0
YC,expert,63.0,0.0,0.0,,9811.901245117188,0.0,4.662667274475098,4.222004413604736,9.999999046325684,281.1895751953125,-1.0,-1.0,0.0,0.0
YC,expert,64.0,0.0,0.0,,10049.320678710938,0.0,4.637948989868164,3.688535451889038,9.999999046325684,237.41943359375,-1.0,-1.0,0.0,0.0
YC,expert,65.0,0.0,0.0,,10021.525268554688,0.0,4.614278793334961,0.44913914799690247,9.999999046325684,-27.79541015625,-1.0,-1.0,0.0,0.0
YC,expert,66.0,0.0,0.0,,10391.082763671875,0.0,4.591602802276611,5.2281293869018555,9.999999046325684,369.5574951171875,-1.0,-1.0,0.0,0.0
YC,expert,67.0,0.0,0.0,,10762.17529296875,0.0,4.56987190246582,5.4587812423706055,9.999999046325684,371.092529296875,-1.0,-1.0,0.0,0.0
YC,expert,68.0,0.0,0.0,,10982.474365234375,0.0,4.549037933349609,3.639037609100342,9.999999046325684,220.299072265625,-1.0,-1.0,0.0,0.0
YC,expert,69.0,0.0,0.0,,11219.581298828125,237.10702896118164,4.529057025909424,3.1129889488220215,9.999999046325684,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,70.0,0.0,0.0,,11448.143310546875,474.2140579223633,4.5098876953125,2.4892590045928955,9.999999046325684,228.56201171875,-1.0,-1.0,0.0,0.0
YC,expert,71.0,0.0,0.0,,11693.795166015625,711.3210296630859,4.491491794586182,3.774228572845459,19.999998092651367,95.65186440944672,-0.6000000238418579,-1.0,0.0,9.999999403953552
YC,expert,72.0,0.0,0.0,,11930.902099609375,948.4281158447266,4.473831653594971,4.363554000854492,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,73.0,0.0,0.0,,12168.009033203125,1185.5351257324219,4.454117298126221,4.603514194488525,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,74.0,0.0,0.0,,12267.762451171875,1422.6422119140625,4.4262166023254395,1.0357271432876587,19.999998092651367,99.75341796875,-1.0,-1.0,0.0,0.0
YC,expert,75.0,0.0,0.0,,12581.571044921875,1659.7492980957031,4.392775535583496,4.153984546661377,19.999998092651367,313.80859375,-1.0,-1.0,0.0,0.0
YC,expert,76.0,0.0,0.0,,12879.329833984375,1896.8563842773438,4.360278129577637,5.01227331161499,19.999998092651367,297.7587890625,-1.0,-1.0,0.0,0.0
YC,expert,77.0,0.0,0.0,,13116.436767578125,2133.9633178710938,4.324682712554932,4.784164905548096,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,78.0,0.0,0.0,,13353.543701171875,2371.0702514648438,4.277439117431641,4.315637588500977,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,79.0,0.0,0.0,,13590.650634765625,2608.1771850585938,4.230556488037109,4.33082389831543,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,80.0,0.0,0.0,,13827.757568359375,2845.2841186523438,4.1694817543029785,4.607266902923584,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,81.0,0.0,0.0,,14064.864501953125,3082.3910522460938,4.106579780578613,4.1512041091918945,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,82.0,0.0,0.0,,14301.971435546875,3319.4979858398438,4.0359907150268555,3.804316997528076,19.999998092651367,237.10693359375,-1.0,-1.0,0.0,0.0
YC,expert,83.0,0.0,0.0,,14539.078369140625,3556.6049194335938,3.9579007625579834,3.7469000816345215,19.999998092651367,238.38279843349454,-1.0,-1.0,0.0,0.0
YC,expert,84.0,0.0,0.0,,14776.185302734375,3793.7118530273438,3.87970232963562,3.2857749462127686,19.999998092651367,238.78509471003252,-1.0,-1.0,0.0,0.0
YC,expert,85.0,0.0,0.0,,14901.43798828125,4030.8187866210938,3.815152168273926,1.2550817728042603,19.999998092651367,125.61418364792252,-1.0,-1.0,0.0,0.0
YC,expert,86.0,0.0,0.0,,15234.98291015625,4267.925720214844,3.734536647796631,4.578335762023926,19.999998092651367,337.8138541111414,-1.0,-1.0,0.0,0.0
YC,expert,87.0,0.0,0.0,,15487.506103515625,4505.032653808594,3.654475212097168,4.731156349182129,19.999998092651367,254.0894307789389,-1.0,-1.0,0.0,0.0
YC,expert,88.0,0.0,0.0,,15724.613037109375,4742.139587402344,3.5638256072998047,4.106678009033203,19.999998092651367,237.7029806047233,-1.0,-1.0,0.0,0.0
YC,expert,89.0,0.0,0.0,,15961.719970703125,4979.246520996094,3.4627749919891357,3.4663124084472656,19.999998092651367,237.5622408892362,-1.0,-1.0,0.0,0.0
YC,expert,90.0,0.0,0.0025180578231811523,,16198.826904296875,5216.353759765625,3.3594515323638916,4.12252140045166,19.999998092651367,237.46199201279433,-1.0,-1.0,0.0,0.0
YC,expert,91.0,0.0,0.01669245958328247,,16435.933837890625,5453.460693359375,3.2388267517089844,3.6100804805755615,19.999998092651367,237.51207039664894,-1.0,-1.0,0.0,0.0
YC,expert,92.0,0.0,0.030670523643493652,,16673.040771484375,5690.567626953125,3.1081976890563965,3.417621612548828,19.999998092651367,237.5144149741883,-1.0,-1.0,0.0,0.0
YC,expert,93.0,0.0,0.04497039318084717,,16858.525390625,5927.674560546875,2.9686431884765625,2.1373462677001953,19.999998092651367,185.88325998821765,-1.0,-1.0,0.0,0.0
YC,expert,94.0,0.0,0.06178939342498779,,16944.05517578125,6164.781494140625,2.8461785316467285,0.9432181715965271,19.999998092651367,85.91071337469839,-1.0,-1.0,0.0,0.0
