site,agent,dap,swfac,turfac,nstres,trnu,topwt,grnwt,xlai,ep,totir,reward,raw_action_anfer,raw_action_amir,real_action_anfer,real_action_amir
SY,null,79.0,0.0,,0.3069119453430176,,2809.0289306640625,0.0,0.9485377669334412,1.1262216567993164,0.0,45.8319515370474,-1.0,-1.0,0.0,0.0
SY,null,80.0,0.0,,0.29397714138031006,,2921.009521484375,0.0,0.9211101531982422,2.266824722290039,0.0,112.60315355145255,-1.0,-1.0,0.0,0.0
SY,null,81.0,0.0,,0.2787168025970459,,2985.4849243164062,0.0,0.895061194896698,1.423262357711792,0.0,65.1039617384116,-1.0,-1.0,0.0,0.0
SY,null,82.0,0.0,,0.2797582149505615,,2998.96728515625,0.0,0.8697100281715393,0.5683504343032837,0.0,13.986303090795978,-1.0,-1.0,0.0,0.0
SY,null,83.0,0.0,,0.26878154277801514,,3034.3771362304688,0.0,0.8454747796058655,0.9997611045837402,0.0,35.87231995050135,-1.0,-1.0,0.0,0.0
SY,null,84.0,0.0,,0.24685454368591309,,3037.0553588867188,0.0,0.8226872682571411,0.4494233727455139,0.0,3.1233642309528387,-1.0,-1.0,0.0,0.0
SY,null,85.0,0.0,,0.23030781745910645,,3039.1937255859375,0.0,0.8010812401771545,0.44117724895477295,0.0,2.582067193767168,-1.0,-1.0,0.0,0.0
SY,null,86.0,0.0,,0.2022777795791626,,3128.0221557617188,0.0,0.7809782028198242,1.869628667831421,0.0,89.24772754102777,-1.0,-1.0,0.0,0.0
SY,null,87.0,0.0,,0.19086503982543945,,3273.2110595703125,0.0,0.762345552444458,2.7881927490234375,0.0,145.39078986896055,-1.0,-1.0,0.0,0.0
SY,null,88.0,0.0,,0.1886698603630066,,3398.5980224609375,0.0,0.7443665862083435,2.4636807441711426,0.0,125.57952661670882,-1.0,-1.0,0.0,0.0
SY,null,89.0,0.0,,0.18966025114059448,,3508.0328369140625,109.43493843078613,0.7267194390296936,2.387051820755005,0.0,109.69628647536521,-1.0,-1.0,0.0,0.0
SY,null,90.0,0.0,,0.21779274940490723,,3591.1004638671875,192.50240325927734,0.7080126404762268,1.6646283864974976,0.0,83.38956848857222,-1.0,-1.0,0.0,0.0
SY,null,91.0,0.0,,0.2244434356689453,,3674.1677856445312,275.56983947753906,0.6895911693572998,2.484893321990967,0.0,83.357179947892,-1.0,-1.0,0.0,0.0
SY,null,92.0,0.0,,0.2326127290725708,,3757.235107421875,358.63731384277344,0.671414315700531,1.812923550605774,0.0,83.46269652359322,-1.0,-1.0,0.0,0.0
SY,null,93.0,0.0,,0.24202990531921387,,3812.1859741210938,441.70475006103516,0.6534531712532043,0.7654094696044922,0.0,55.414482555156205,-1.0,-1.0,0.0,0.0
SY,null,94.0,0.0,,0.24873220920562744,,3923.3706665039062,524.7721862792969,0.6357900500297546,2.159090518951416,0.0,111.66249763511105,-1.0,-1.0,0.0,0.0
SY,null,95.0,0.0,,0.24576246738433838,,4006.43798828125,607.8396606445312,0.6186829209327698,1.2473154067993164,0.0,83.68687650414066,-1.0,-1.0,0.0,0.0
SY,null,96.0,0.0,,0.2596484422683716,,4089.5053100585938,690.9070587158203,0.601678192615509,2.0098676681518555,0.0,83.68305459090489,-1.0,-1.0,0.0,0.0
SY,null,97.0,0.0,,0.2623921036720276,,4172.572937011719,773.9745330810547,0.5850720405578613,2.004363775253296,0.0,83.54607322731498,-1.0,-1.0,0.0,0.0
SY,null,98.0,0.0,,0.26827800273895264,,4255.640563964844,857.0419311523438,0.568780779838562,1.8228703737258911,0.0,83.60870253722398,-1.0,-1.0,0.0,0.0
SY,null,99.0,0.0,,0.2727067470550537,,4305.551452636719,940.1094055175781,0.552838146686554,0.7827461361885071,0.0,50.650294290117905,-1.0,-1.0,0.0,0.0
SY,null,100.0,0.0,,0.2714133858680725,,4393.374938964844,1023.1769561767578,0.5373722314834595,1.463761806488037,0.0,88.53735564706258,-1.0,-1.0,0.0,0.0
SY,null,101.0,0.0,,0.2588663101196289,,4493.953857421875,1106.2444305419922,0.5226198434829712,1.8228048086166382,0.0,101.31964717920755,-1.0,-1.0,0.0,0.0
SY,null,102.0,0.0,,0.264181911945343,,4524.215393066406,1189.3119049072266,0.5081568360328674,0.4333316683769226,0.0,30.99991697183265,-1.0,-1.0,0.0,0.0
SY,null,103.0,0.0,,0.27729952335357666,,4624.309387207031,1272.379379272461,0.49381619691848755,1.6305654048919678,0.0,100.74718930125388,-1.0,-1.0,0.0,0.0
SY,null,104.0,0.0,,0.26390784978866577,,4722.904968261719,1355.4469299316406,0.480155885219574,1.6097869873046875,0.0,99.20749068468884,-1.0,-1.0,0.0,0.0
